I_real,I_imag,V_real,V_imag
445.1618327794524,161.579738449593,4.25847,0
440.8510612643823,160.75493864285437,4.25238,0
433.2173956846837,159.71527765739947,4.24817,0
431.408964644107,157.81401917668674,4.24078,0
427.97721593603023,157.54024674236297,4.24305,0
424.9885506698454,155.1784498200193,4.23333,0
424.8072553035436,155.18222042962893,4.23473,0
427.0347899550703,155.2526371081307,4.2322,0
431.2362563652308,156.95704807399025,4.23215,0
434.74482118537463,157.22032455282817,4.23727,0
452.3370511763624,160.88306731621228,4.2417,0
475.2357095767812,164.57392250309067,4.24535,0
507.95072890700226,174.36875614296602,4.25519,0
525.6234924376438,178.70305939925672,4.25511,0
527.2536949305897,179.67674854037352,4.26077,0
534.6395716983884,181.48263492181218,4.25818,0
533.7042921975466,182.76319484490267,4.26841,0
528.6241340422062,181.79302794146886,4.27594,0
516.7588513553574,177.67355471732893,4.25933,0
509.6882157280056,178.38789971296256,4.26835,0
496.0605388563166,175.93016042049405,4.27053,0
483.6481820220392,175.17899658000218,4.2712,0
477.81728417243863,169.52770554123305,4.25296,0
466.95948036094137,168.0703570711968,4.26228,0
451.2465192186192,163.271412896074,4.26003,0
447.2293760843663,163.42449197163953,4.26086,0
437.25311760497675,161.3151166683654,4.25541,0
438.33075925700973,161.95625312155553,4.25436,0
432.7032448752217,160.1230972547494,4.25134,0
437.7090225977661,161.52392472172127,4.24974,0
454.0154191247431,164.8731325049166,4.24341,0
461.02472388908745,167.6756656852467,4.24233,0
455.62475761637967,162.67364470932364,4.23371,0
454.3586471771825,162.65644454284796,4.22881,0
469.44838262997604,166.22029988873092,4.23124,0
466.23180548301843,166.56230617112882,4.2415,0
485.09753352943466,172.34117954702256,4.2487,0
483.2551656781055,171.77677949719148,4.25232,0
489.9159418954646,175.89205505843552,4.2632,0
491.5268737666932,174.63718391608734,4.26142,0
534.7728151697557,190.66013136315183,4.24866,0
529.0784565131313,189.99961171982056,4.24658,0
523.8971106866659,189.58766502640214,4.25101,0
521.4391503949332,191.20767588256004,4.26219,0
521.7478777694425,192.61589740227265,4.2706,0
508.04721908925086,189.87119476023418,4.27101,0
486.7172309857711,181.30435842125686,4.25804,0
476.5008907956827,178.37951983319397,4.25792,0
463.6670841809265,175.444856143341,4.26444,0
470.49615325653343,176.27903731245132,4.2561,0
460.46067679558774,175.9318237299588,4.25905,0
461.1579066930162,175.92517079575447,4.25646,0
