time,x,y
251.44,374,431
251.64,361,424
251.84,346,421
252.04,346,420
252.24,350,423
252.44,355,425
252.64,359,427
252.84,363,429
253.04,366,430
253.24,370,431
253.44,372,433
253.64,373,433
253.84,366,426
254.04,355,426
254.24,349,422
254.44,345,419
254.64,347,420
254.84,354,424
255.04,364,428
255.24,371,431
255.44,375,433
255.64,378,434
255.84,380,435
256.04,383,436
256.24,380,434
256.44,369,428
256.64,355,422
256.84,348,419
257.04,352,422
257.24,358,423
257.44,364,424
257.64,370,426
257.84,375,429
258.04,379,430
258.24,383,432
258.44,387,433
258.64,390,434
258.84,384,439
259.04,355,433
259.24,330,423
259.44,309,402
259.64,295,391
259.84,289,377
260.04,306,392
260.24,344,423
260.44,364,434
260.64,364,431
260.84,363,428
261.04,358,426
261.24,350,419
261.44,355,420
261.64,359,420
261.84,366,421
262.04,372,424
262.24,376,427
262.44,381,429
262.64,385,431
262.84,384,432
263.04,374,430
263.24,367,426
263.44,360,423
263.64,356,420
263.84,357,419
264.04,362,421
264.24,366,423
264.44,369,425
264.64,374,427
264.84,378,430
265.04,383,432
265.24,386,434
265.44,376,427
265.64,361,427
265.84,353,420
266.04,351,416
266.24,354,417
266.44,357,419
266.64,361,421
266.84,365,422
267.04,369,424
267.24,372,427
267.44,376,429
267.64,379,430
267.84,382,432
268.04,382,431
268.24,368,424
268.44,362,421
268.64,354,418
268.84,355,417
269.04,358,419
269.24,362,421
269.44,366,422
269.64,372,424
269.84,375,427
270.04,379,428
270.24,383,430
270.44,384,429
270.64,374,426
270.84,371,426
271.04,355,419
271.24,352,415
271.44,356,418
271.64,362,420
271.84,368,421
272.04,374,423
272.24,379,426
272.44,382,429
272.64,386,431
272.84,391,432
273.04,391,433
273.24,388,432
273.44,377,427
273.64,365,421
273.84,358,418
274.04,354,415
274.24,351,412
274.44,350,408
274.64,350,413
274.84,355,416
275.04,361,418
275.24,367,422
275.44,371,424
275.64,375,427
275.84,376,428
276.04,371,432
276.24,372,432
276.44,372,432
276.64,358,425
276.84,348,420
277.04,348,420
277.24,348,422
277.44,350,423
277.64,351,424
277.84,352,424
278.04,355,424
278.24,358,426
278.44,360,427
278.64,363,428
278.84,366,428
